,index,long_position_solar,lat_position_solar,value_phov,long_position_topo,lat_position_topo,elevation,long_position,lat_position,value,lat_leftend,lat_rightend,long_leftend,long_rightend,coordinates,Address,esp_or_not
37,532,"(-9.158, -9.07]","(38.592, 38.646]",1641.0925,"(-9.231, -9.139]","(38.68, 38.758]",75.39455782312925,"(-9.22, -9.128]","(38.689, 38.767]",6.75,38.689,38.767,-9.231,-9.139,"38.689,-9.231","Torre VTS, Rua Doutor Alfredo Magalhães Ramalho, Baixa de Algés, Algés, Algés, Linda-a-Velha e Cruz Quebrada-Dafundo, Oeiras, Lisboa, 1495-165, Portugal",0
38,533,"(-9.158, -9.07]","(38.646, 38.7]",1604.6589,"(-9.231, -9.139]","(38.758, 38.837]",117.88258164852255,"(-9.22, -9.128]","(38.767, 38.845]",6.666666666666667,38.767,38.845,-9.231,-9.139,"38.767,-9.231","CTT, Rua Oliveira Martins, Urbanização Vila Chã, Casal de São Brás, Mina de Água, Amadora, Lisboa, 2700-606, Portugal",0
39,534,"(-9.158, -9.07]","(38.7, 38.753]",1601.5378,"(-9.231, -9.139]","(38.837, 38.915]",169.81740481740482,"(-9.22, -9.128]","(38.845, 38.922]",7.0,38.845,38.922,-9.231,-9.139,"38.845,-9.231","Albogas, Loures, Almargem do Bispo, Pêro Pinheiro e Montelavar, Sintra, Lisboa, 2670-347, Portugal",0
40,535,"(-9.158, -9.07]","(38.753, 38.807]",1601.0856,"(-9.231, -9.139]","(38.915, 38.993]",225.5073815073815,"(-9.22, -9.128]","(38.922, 39.0]",7.0,38.922,39.0,-9.231,-9.139,"38.922,-9.231","Girassol, Avenida 9 de Julho, Venda do Valador, Venda do Pinheiro e Santo Estêvão das Galés, Mafra, Lisboa, 2665-527, Portugal",0
41,536,"(-9.158, -9.07]","(38.807, 38.861]",1593.0953,"(-9.231, -9.139]","(38.993, 39.071]",175.40404040404042,"(-9.22, -9.128]","(39.0, 39.078]",5.4375,39.0,39.078,-9.231,-9.139,"39.0,-9.231","N 9-2, Quinta da Fonte Forneira, Enxara do Bispo, Gradil e Vila Franca do Rosário, Mafra, Lisboa, 2665-054, Portugal",0
42,537,"(-9.158, -9.07]","(38.861, 38.914]",1595.3207,"(-9.231, -9.139]","(39.071, 39.149]",148.9059829059829,"(-9.22, -9.128]","(39.078, 39.156]",6.5,39.078,39.156,-9.231,-9.139,"39.078,-9.231","Autoestrada do Oeste, Casal das Fontes, Torres Vedras, Santa Maria, São Pedro e Matacães, Torres Vedras, Lisboa, 2560-587, Portugal",0
43,538,"(-9.158, -9.07]","(38.914, 38.968]",1590.8777,"(-9.231, -9.139]","(39.149, 39.228]",95.59351432880845,"(-9.22, -9.128]","(39.156, 39.233]",7.0,39.156,39.233,-9.231,-9.139,"39.156,-9.231","Autoestrada do Oeste, Moita dos Ferreiros, Ramalhal, Torres Vedras, Lisboa, 2565-668 RAMALHAL, Portugal",0
44,539,"(-9.158, -9.07]","(38.968, 39.022]",1575.9625,"(-9.231, -9.139]","(39.228, 39.306]",86.84304584304584,"(-9.22, -9.128]","(39.233, 39.311]",7.0,39.233,39.311,-9.231,-9.139,"39.233,-9.231","Moita dos Ferreiros, Lourinhã, Lisboa, 2530-439, Portugal",0
45,540,"(-9.158, -9.07]","(39.022, 39.075]",1569.6357,"(-9.231, -9.139]","(39.306, 39.384]",56.46921278254092,"(-9.22, -9.128]","(39.311, 39.389]",6.916666666666667,39.311,39.389,-9.231,-9.139,"39.311,-9.231","Cezaredas, Reguengo Grande, Lourinhã, Lisboa, 2540-512, Portugal",0
46,541,"(-9.158, -9.07]","(39.075, 39.129]",1556.0198,"(-9.231, -9.139]","(39.384, 39.462]",34.253815261044174,"(-9.22, -9.128]","(39.389, 39.467]",7.0,39.389,39.467,-9.231,-9.139,"39.389,-9.231","Estrada do Vau, Quinta do bom Sucesso, Vau, Óbidos, Leiria, 2510-688, Portugal",0
47,542,"(-9.158, -9.07]","(39.129, 39.183]",1541.4159,"(-9.231, -9.139]","(39.462, 39.541]",36.16520210896309,"(-9.22, -9.128]","(39.467, 39.544]",7.0,39.467,39.544,-9.231,-9.139,"39.467,-9.231",Portugal,0
48,628,"(-9.07, -8.982]","(38.378, 38.431]",1652.1364,"(-9.139, -9.046]","(38.367, 38.445]",93.98214285714286,"(-9.128, -9.036]","(38.378, 38.456]",7.0,38.378,38.456,-9.139,-9.046,"38.378,-9.139",Portugal,0
49,629,"(-9.07, -8.982]","(38.431, 38.485]",1629.7645,"(-9.139, -9.046]","(38.445, 38.524]",112.85314685314685,"(-9.128, -9.036]","(38.456, 38.534]",7.0,38.456,38.534,-9.139,-9.046,"38.456,-9.139","Caixas (Depóstio de Água), EN 377, Alfarim, Casal das Maravilhas, Castelo, Sesimbra, Setúbal, 2970-129, Portugal",0
50,630,"(-9.07, -8.982]","(38.485, 38.539]",1631.8761,"(-9.139, -9.046]","(38.524, 38.602]",49.44343891402715,"(-9.128, -9.036]","(38.534, 38.611]",7.0,38.534,38.611,-9.139,-9.046,"38.534,-9.139","Apostiça, Castelo, Sesimbra, Setúbal, 2865-100, Portugal",0
51,631,"(-9.07, -8.982]","(38.539, 38.592]",1638.9147,"(-9.139, -9.046]","(38.602, 38.68]",12.511054421768707,"(-9.128, -9.036]","(38.611, 38.689]",7.0,38.611,38.689,-9.139,-9.046,"38.611,-9.139","Pinhal Conde da Cunha, Amora, Seixal, Setúbal, 2845-193, Portugal",0
52,632,"(-9.07, -8.982]","(38.592, 38.646]",1634.9199,"(-9.139, -9.046]","(38.68, 38.758]",22.062322946175637,"(-9.128, -9.036]","(38.689, 38.767]",6.888888888888889,38.689,38.767,-9.139,-9.046,"38.689,-9.139","Ginjal, Almada, Almada, Cova da Piedade, Pragal e Cacilhas, Almada, Setúbal, 2800-297, Portugal",0
53,633,"(-9.07, -8.982]","(38.646, 38.7]",1617.0503,"(-9.139, -9.046]","(38.758, 38.837]",40.625635808748726,"(-9.128, -9.036]","(38.767, 38.845]",6.888888888888889,38.767,38.845,-9.139,-9.046,"38.767,-9.139","40, Avenida Marechal Craveiro Lopes/2ª Circular, Olivais, Lisboa, 1700-079, Portugal",0
54,634,"(-9.07, -8.982]","(38.7, 38.753]",1597.0769,"(-9.139, -9.046]","(38.837, 38.915]",94.0205047318612,"(-9.128, -9.036]","(38.845, 38.922]",6.777777777777778,38.845,38.922,-9.139,-9.046,"38.845,-9.139","Rua Padre Cruz, Bairro Quinta da Ribeirinha, Santo Antão e São Julião do Tojal, Santo Antão do Tojal, Lisboa, 2670-398, Portugal",0
55,635,"(-9.07, -8.982]","(38.753, 38.807]",1581.2614,"(-9.139, -9.046]","(38.915, 38.993]",230.03574203574203,"(-9.128, -9.036]","(38.922, 39.0]",7.0,38.922,39.0,-9.139,-9.046,"38.922,-9.139","Parque Infantil de Vila Nova, Rua 25 de Abril, Vila Nova, Loures, Lisboa, 2670-676, Portugal",0
56,636,"(-9.07, -8.982]","(38.807, 38.861]",1578.8857,"(-9.139, -9.046]","(38.993, 39.071]",197.25097125097125,"(-9.128, -9.036]","(39.0, 39.078]",4.5,39.0,39.078,-9.139,-9.046,"39.0,-9.139","Casal do Barqueiro, Santo Quintino, Sobral de Monte Agraço, Lisboa, 2590-081, Portugal",0
