,0
716,Évora
717,Évora
718,Portalegre
719,Portalegre
720,Portalegre
721,Portalegre
722,Portalegre
723,Portalegre
724,Portalegre
725,Portalegre
726,Santarém
727,Castelo Branco
728,Castelo Branco
729,Castelo Branco
730,Castelo Branco
731,Coimbra
732,Coimbra
733,Coimbra
734,Coimbra
735,Coimbra
736,Coimbra
737,Viseu
738,Viseu
739,Viseu
740,Viseu
741,Viseu
742,Viseu
743,Viseu
744,Viseu
745,Viseu
746,Porto
747,Porto
748,Vila Real
749,Vila Real
750,Braga
751,Vila Real
752,Vila Real
753,Vila Real
754,Vila Real
755,Faro
756,Faro
757,Faro
758,Faro
759,Faro
760,Faro
761,Faro
762,Beja
763,Beja
764,Beja
765,Beja
766,Beja
767,Beja
768,Beja
769,Beja
770,Beja
771,Beja
772,Évora
773,Évora
774,Évora
775,Évora
776,Évora
777,Évora
778,Évora
779,Évora
780,Portalegre
781,Portalegre
782,Portalegre
783,Portalegre
784,Portalegre
785,Portalegre
786,Portalegre
787,Portalegre
788,Santarém
789,Castelo Branco
790,Castelo Branco
791,Castelo Branco
792,Castelo Branco
793,Castelo Branco
794,Castelo Branco
795,Coimbra
796,Coimbra
797,Coimbra
798,Coimbra
799,Coimbra
800,Coimbra
801,Viseu
802,Viseu
803,Viseu
804,Viseu
805,Viseu
806,Viseu
807,Viseu
808,Viseu
809,Vila Real
810,Vila Real
811,Vila Real
812,Vila Real
813,Vila Real
814,Braga
815,Vila Real
816,Vila Real
817,Vila Real
818,Faro
819,Faro
820,Faro
821,Faro
822,Faro
823,Faro
824,Beja
825,Beja
826,Beja
827,Beja
828,Beja
829,Beja
830,Beja
831,Beja
832,Beja
833,Évora
834,Évora
835,Évora
836,Évora
837,Évora
838,Évora
839,Évora
840,Évora
841,Évora
842,Portalegre
843,Portalegre
844,Portalegre
845,Portalegre
846,Portalegre
847,Portalegre
848,Portalegre
849,Portalegre
850,Portalegre
851,Castelo Branco
852,Castelo Branco
853,Castelo Branco
854,Castelo Branco
855,Castelo Branco
856,Castelo Branco
857,Coimbra
858,Castelo Branco
859,Castelo Branco
860,Coimbra
861,Guarda
862,Guarda
863,Viseu
864,Viseu
865,Viseu
866,Viseu
867,Viseu
868,Viseu
869,Viseu
870,Viseu
871,Vila Real
872,Vila Real
873,Vila Real
874,Vila Real
875,Vila Real
876,Vila Real
877,Vila Real
878,Vila Real
879,Vila Real
880,Vila Real
881,Faro
882,Faro
883,Faro
884,Faro
885,Faro
886,Faro
887,Beja
888,Beja
889,Beja
890,Beja
891,Beja
892,Beja
893,Beja
894,Beja
895,Beja
896,Évora
897,Évora
898,Évora
899,Évora
900,Évora
901,Évora
902,Évora
903,Évora
904,Évora
905,Portalegre
906,Portalegre
907,Portalegre
908,Portalegre
909,Portalegre
910,Portalegre
911,Portalegre
912,Portalegre
913,Portalegre
914,Portalegre
915,Castelo Branco
916,Castelo Branco
917,Castelo Branco
918,Castelo Branco
919,Castelo Branco
920,Castelo Branco
921,Castelo Branco
922,Castelo Branco
923,Guarda
924,Guarda
925,Guarda
926,Guarda
927,Viseu
928,Viseu
929,Viseu
930,Viseu
931,Viseu
932,Viseu
933,Viseu
934,Vila Real
935,Vila Real
936,Vila Real
937,Vila Real
938,Vila Real
939,Vila Real
940,Vila Real
941,Vila Real
942,Vila Real
943,Vila Real
944,Faro
945,Faro
946,Faro
947,Faro
948,Faro
949,Faro
950,Beja
951,Beja
952,Beja
953,Beja
954,Beja
955,Beja
956,Beja
957,Beja
958,Évora
959,Évora
960,Évora
961,Évora
962,Évora
963,Évora
964,Évora
965,Évora
966,Évora
967,Évora
968,Portalegre
969,Portalegre
970,Portalegre
971,Portalegre
972,Portalegre
973,Portalegre
974,Portalegre
975,Portalegre
976,Portalegre
977,Castelo Branco
