,Phov,Elevation,long_bins,lat_bins,Inclination,lat_leftend,lat_rightend,long_leftend,long_rightend,Coordinates,Address,County
76,1580.8398,103.10878010878012,"(-8.944, -8.852]","(39.311, 39.389]",6.666666666666667,39.311,39.389,-8.954,-8.862,"39.311,-8.954","CV 6-1, Casais dos Silvas, Rio Maior, Santarém, 2040-092, Portugal",Leiria
77,1580.243,242.0831390831391,"(-8.944, -8.852]","(39.389, 39.467]",6.333333333333333,39.389,39.467,-8.954,-8.862,"39.389,-8.954","Benedita, Rio Maior, Leiria, 2040-078, Portugal",Leiria
78,1581.4993,295.1981351981352,"(-8.944, -8.852]","(39.467, 39.544]",6.5,39.467,39.544,-8.954,-8.862,"39.467,-8.954","Rua da Escola, Carvalhal de Turquel, Turquel, Alcobaça, Leiria, 2460-897, Portugal",Leiria
79,1572.406,168.3069153069153,"(-8.944, -8.852]","(39.544, 39.622]",6.833333333333333,39.544,39.622,-8.954,-8.862,"39.544,-8.954","EM 556, Bairro da Quinta Nova, Chiqueda, Aljubarrota, Alcobaça, Leiria, 2460-020, Portugal",Leiria
80,1570.2928,129.86169386169385,"(-8.944, -8.852]","(39.622, 39.7]",7.0,39.622,39.7,-8.954,-8.862,"39.622,-8.954","Coz, Alpedriz e Montes, Alcobaça, Leiria, 2460-455, Portugal",Leiria
81,1563.0233,111.8049728049728,"(-8.944, -8.852]","(39.7, 39.778]",7.0,39.7,39.778,-8.954,-8.862,"39.7,-8.954","Rua 5 de Outubro, Pataias e Martingança, Moita, Marinha Grande, Leiria, 2445-573, Portugal",Leiria
82,1558.8538,54.973604826546,"(-8.944, -8.852]","(39.778, 39.855]",7.0,39.778,39.855,-8.954,-8.862,"39.778,-8.954","Aceiro L, Salgueira, Marinha Grande, Leiria, 2430-275, Portugal",Leiria
83,1557.1888,35.80670303975059,"(-8.944, -8.852]","(39.855, 39.933]",7.0,39.855,39.933,-8.954,-8.862,"39.855,-8.954","Aceiro C, Vieira de Leiria, Marinha Grande, Leiria, 2431-909, Portugal",Viana do Castelo
84,1552.0857,43.78712871287129,"(-8.944, -8.852]","(39.933, 40.011]",7.0,39.933,40.011,-8.954,-8.862,"39.933,-8.954","Pedrógão, Coimbrão, Leiria, 2425-458, Portugal",Viana do Castelo
85,1524.9711,2.636363636363636,"(-8.944, -8.852]","(41.644, 41.721]",6.916666666666667,41.644,41.721,-8.954,-8.862,"41.644,-8.954","Viana do Castelo, 4900-999, Portugal",Faro
86,1523.4995,17.911894273127754,"(-8.944, -8.852]","(41.721, 41.799]",6.666666666666667,41.721,41.799,-8.954,-8.862,"41.721,-8.954","Viana do Castelo, 4900-999, Portugal",Faro
